,,Weights
"2,32",HYI,0.0
"2,32",OPP,0.0
"2,32",MCR,0.0
"2,32",CIK,0.0
"2,32",NHS,0.19856
"2,32",HIO,0.06856
"2,32",MPV,0.0
"2,32",DHY,0.01706
"2,32",MCI,0.0
"2,32",AWF,0.0
"2,32",DHF,0.06275
"2,32",BGH,0.00737
"2,32",EAD,0.1082
"2,32",RA,0.0151
"2,32",KIO,0.0571
"2,32",ISD,0.21821
"2,32",VLT,0.0
"2,32",FSD,0.09
"2,32",GHY,0.0
"2,32",JLS,0.0
"2,32",IVH,0.0
"2,32",AIF,0.0
"2,32",HYB,0.15058
"2,32",EIC,0.00058
"2,31",HYT,0.06659
"2,31",HNW,0.0
"2,31",JHAA,0.0
"2,31",IHIT,0.0
"2,31",HIX,0.0
"2,31",EHI,0.0
"2,31",PHT,0.0
"2,31",HYI,0.00183
"2,31",OPP,0.00139
"2,31",MCR,0.0
"2,31",CIK,0.0
"2,31",NHS,0.13955
"2,31",HIO,0.00955
"2,31",MPV,0.0
"2,31",DHY,0.00804
"2,31",MCI,0.0
"2,31",AWF,0.00083
"2,31",DHF,0.01369
"2,31",BGH,0.00831
"2,31",EAD,0.11349
"2,31",RA,0.00349
"2,31",KIO,0.00549
"2,31",ISD,0.2166
